v_bin,n_records,power_mean,power_std,power_p10,power_p90,v_mean,Cp,turbine_id
5.25,2896,161.2224979349838,34.7254894088911,116.26850655419489,205.8567245658787,4.999447395641717,0.3444483084471971,T06
5.75,2848,235.13700371514742,41.75473962760585,181.58315992832192,289.7577161153159,5.5027051906081335,0.3823787653309623,T06
6.25,2849,320.8222151646789,48.44072154977739,260.11480745951343,383.3963420613608,5.998604315396107,0.40625685481232504,T06
6.75,2847,423.3914332755621,60.850810758789585,352.2097371419272,499.76071533203134,6.4973334452980165,0.42560534042579795,T06
7.25,2624,538.1071395831376,72.98088610620744,459.24808178710947,624.4391398252291,6.992615490486488,0.4365470476025714,T06
7.75,2206,666.5853730886607,90.17929994607495,577.0709214309168,766.5073806762693,7.492279885302733,0.44271780951839734,T06
8.25,1033,778.7596195274722,89.01263297832182,687.5665993245442,876.7939134619702,7.892333783984718,0.42876359086075766,T06
8.75,263,968.7509142163747,89.65594492013591,853.6645304361983,1095.6226671826716,8.527835698275627,0.44705842847133737,T06
9.25,550,1129.3917894464914,96.4993050342514,1004.4589868164069,1250.0362695312506,9.024331803370906,0.4411596147061252,T06
9.75,927,1283.6961769526047,92.08746289232985,1158.780513576931,1399.7962858072926,9.510765051629622,0.42817836703636786,T06
10.25,1074,1431.8064625305599,95.38007270721013,1307.5355983970917,1548.4890511067713,10.00005203008487,0.41104469068260524,T06
10.75,1052,1568.1376708612424,99.19338529705811,1442.4816873905584,1687.8646053059915,10.493869308041566,0.3902429948815158,T06
11.25,983,1693.5194113381588,104.99510338484872,1550.290791829432,1821.5992788831604,10.998165029901035,0.3677129563082383,T06
11.75,930,1796.1817381450307,105.41660874070968,1648.973535563155,1921.1363815833797,11.492177406159247,0.3423048066820653,T06
12.25,875,1881.071337842682,93.27175904373945,1751.4307991536473,1990.917067871096,12.002866370115399,0.3163539932398079,T06
12.75,824,1931.808309754718,86.66870495964046,1812.3825390624995,2024.5605456542996,12.496579177905641,0.2881441430851796,T06
13.25,753,1973.5656485441157,68.59954427050309,1879.6579020743554,2040.9581467201,12.99773387136769,0.26228911233222185,T06
13.75,668,1989.9005275106372,60.73467141345739,1911.90040934245,2044.5251717122424,13.501086564389128,0.23664623182203012,T06
14.25,603,2007.0482997666616,45.875925163448116,1949.6639848632817,2047.1449568684923,13.990492145535303,0.21443197801966674,T06
14.75,472,2013.9945203736506,44.7034249023057,1955.393229349069,2050.1466920629073,14.507009762246202,0.19402538080913379,T06
15.25,443,2018.2567579527206,41.25493182670791,1961.82831054688,2050.413741861981,14.986226714793647,0.17593133780316514,T06
15.75,383,2025.2478559652411,32.72445499773814,1981.4467032877626,2050.747397629312,15.500428922404621,0.16025545720025822,T06
16.25,357,2030.8015045466677,26.401208234728696,1997.5374503580751,2051.881233723963,15.992824085046603,0.14631326486934101,T06
16.75,286,2031.8681165715786,25.45140255342466,1999.38971761068,2052.742484537763,16.504003026958298,0.13366798531460344,T06
17.25,252,2032.5733732286562,26.775359855996648,1999.5195769912916,2053.8047005208346,16.98294716144369,0.12242081166863573,T06
17.75,202,2037.557077329784,20.121714659960528,2015.2936707805777,2053.8073339843772,17.503806328214914,0.1126395824703753,T06
18.25,198,2038.5987663604412,17.18816291832669,2015.045192871097,2053.499285481769,18.008300897609217,0.10368584503907297,T06
18.75,178,2042.0749279389042,16.036196806798657,2022.5709224446628,2056.088537260915,18.508346053446814,0.0957732395656423,T06
19.25,161,2044.8176771254164,11.811500305265557,2034.06084798177,2057.028076171878,19.009239773398708,0.08862142115354872,T06
19.75,126,2044.0100044422697,15.568038584194841,2029.729469807945,2056.363110351563,19.452855458385375,0.08202722850464958,T06
20.25,126,2045.434707747102,10.915804863839432,2031.70780822053,2055.726947021487,20.009143163015217,0.07615297235874838,T06
